ID_CLIENT_SYNTH,RIB,Nom,Prénom,Solde_MAD,Statut_Compte,SIGNATURE_ID_REF,PATH_GENUINE,PATH_FORGED,ID_Beneficiaires_Payes
1,230807220000000000000003,Zakaria,Hsina,66199.29,Inactif,001,backend/app/data/sign_data\001,backend/app/data/sign_data\001_forg,[831]
2,230832030000000123456749,Said,Fatou,95456.11,Inactif,002,backend/app/data/sign_data\002,backend/app/data/sign_data\002_forg,[613]
3,230638510000000246913408,Benmoussa,Bamou,69363.99,Actif,003,backend/app/data/sign_data\003,backend/app/data/sign_data\003_forg,"[40, 447]"
4,230163400000000370370116,Bouazza,Hachouma,52245.05,Inactif,004,backend/app/data/sign_data\004,backend/app/data/sign_data\004_forg,"[567, 498]"
5,230924890000000493826882,Berrada,Intissar,13926.52,Inactif,005,backend/app/data/sign_data\005,backend/app/data/sign_data\005_forg,[932]
6,230530860000000617283528,Jabrane,Elmahdi,58098.03,Inactif,006,backend/app/data/sign_data\006,backend/app/data/sign_data\006_forg,"[759, 989, 697]"
7,230280620000000740740239,Elamrani,Elkhadioui,21567.2,Actif,007,backend/app/data/sign_data\007,backend/app/data/sign_data\007_forg,[581]
8,230571970000000864196906,El hachimi,Moufida,44279.16,Actif,008,backend/app/data/sign_data\008,backend/app/data/sign_data\008_forg,"[351, 269]"
9,230649610000000987653684,Tazi,Faissal,8751.65,Actif,009,backend/app/data/sign_data\009,backend/app/data/sign_data\009_forg,[990]
10,230718680000001111110307,Mimouni,Anissa,48548.69,Inactif,010,backend/app/data/sign_data\010,backend/app/data/sign_data\010_forg,"[971, 349]"
11,230543860000001234567020,Hafidi,Fath Allah,59924.71,Inactif,011,backend/app/data/sign_data\011,backend/app/data/sign_data\011_forg,"[880, 501, 876]"
12,230941080000001358023786,Azizi,Saif Elislam,9355.79,Inactif,012,backend/app/data/sign_data\012,backend/app/data/sign_data\012_forg,[106]
13,230157990000001481480496,Id,Allou,50830.99,Inactif,013,backend/app/data/sign_data\013,backend/app/data/sign_data\013_forg,"[551, 18, 209]"
14,230472840000001604937138,Sadik,Chama,31032.78,Inactif,014,backend/app/data/sign_data\014,backend/app/data/sign_data\014_forg,"[486, 890]"
15,230185200000001728393890,Lazrak,Malha,81909.45,Actif,015,backend/app/data/sign_data\015,backend/app/data/sign_data\015_forg,[533]
16,230922630000001851850502,Cherkaoui,Amjad,35128.99,Actif,016,backend/app/data/sign_data\016,backend/app/data/sign_data\016_forg,"[933, 137, 714]"
17,230141050000001975307290,El hassan,Ouahab,50039.42,Inactif,017,backend/app/data/sign_data\017,backend/app/data/sign_data\017_forg,[888]
18,230798380000002098763934,Regragui,Haitam,17490.95,Actif,018,backend/app/data/sign_data\018,backend/app/data/sign_data\018_forg,"[602, 239, 790, 894]"
19,230899160000002222220652,Saadi,Achour,25090.48,Actif,019,backend/app/data/sign_data\019,backend/app/data/sign_data\019_forg,[397]
20,230925710000002345677320,Elamrani,Haitam,78853.86,Actif,020,backend/app/data/sign_data\020,backend/app/data/sign_data\020_forg,[846]
21,230399140000002469134091,El mehdi,Namir,31626.73,Inactif,021,backend/app/data/sign_data\021,backend/app/data/sign_data\021_forg,[559]
22,230326950000002592590767,Zahraoui,Bikr,1798.08,Inactif,022,backend/app/data/sign_data\022,backend/app/data/sign_data\022_forg,"[176, 17]"
23,230921960000002716047442,Abid,Raihane,12783.05,Inactif,023,backend/app/data/sign_data\023,backend/app/data/sign_data\023_forg,"[491, 223]"
24,230949940000002839504190,Fadili,Chams Eddouha,23488.19,Inactif,024,backend/app/data/sign_data\024,backend/app/data/sign_data\024_forg,"[946, 129]"
25,230264190000002962960809,Diouri,Addi,55695.83,Actif,025,backend/app/data/sign_data\025,backend/app/data/sign_data\025_forg,"[53, 712]"
26,230710980000003086417571,Touzani,Malih,21933.24,Actif,026,backend/app/data/sign_data\026,backend/app/data/sign_data\026_forg,"[906, 494]"
27,230759390000003209874289,El haddad,Batoul,68049.47,Inactif,027,backend/app/data/sign_data\027,backend/app/data/sign_data\027_forg,[8]
28,230945200000003333330988,El mansouri,Rania,73365.72,Actif,028,backend/app/data/sign_data\028,backend/app/data/sign_data\028_forg,[385]
29,230281740000003456787663,Nabil,Rabbah,78695.3,Actif,029,backend/app/data/sign_data\029,backend/app/data/sign_data\029_forg,"[926, 426]"
30,230540850000003580244393,Nabil,Ichraf,97566.37,Inactif,030,backend/app/data/sign_data\030,backend/app/data/sign_data\030_forg,[474]
31,230785990000003703701025,Badr,Hasnae,39093.86,Actif,031,backend/app/data/sign_data\031,backend/app/data/sign_data\031_forg,[887]
32,230233200000003827157793,Ben,Bilal,26747.79,Inactif,032,backend/app/data/sign_data\032,backend/app/data/sign_data\032_forg,[449]
33,230651760000003950614499,Naim,Farhate,29373.26,Inactif,033,backend/app/data/sign_data\033,backend/app/data/sign_data\033_forg,"[306, 649]"
34,230343020000004074071105,Hakim,Rahima,83795.02,Inactif,034,backend/app/data/sign_data\034,backend/app/data/sign_data\034_forg,[453]
35,230514650000004197527888,Soussi,Bichr,11149.83,Inactif,035,backend/app/data/sign_data\035,backend/app/data/sign_data\035_forg,"[381, 592]"
36,230189130000004320984554,Fakir,Tamimount,83321.74,Actif,036,backend/app/data/sign_data\036,backend/app/data/sign_data\036_forg,[749]
37,230121290000004444441271,Fikri,Jouhairia,98694.62,Inactif,037,backend/app/data/sign_data\037,backend/app/data/sign_data\037_forg,[407]
38,230759270000004567897909,Jaafar,Mariem,4476.35,Actif,038,backend/app/data/sign_data\038,backend/app/data/sign_data\038_forg,[647]
39,230285770000004691354683,Baba,Imad Eddine,20753.16,Actif,039,backend/app/data/sign_data\039,backend/app/data/sign_data\039_forg,[367]
40,230449390000004814811322,El amri,Hinda,54592.08,Actif,040,backend/app/data/sign_data\040,backend/app/data/sign_data\040_forg,"[69, 358, 637, 648]"
41,230867160000004938268083,Belhaj,Salma,21978.13,Inactif,041,backend/app/data/sign_data\041,backend/app/data/sign_data\041_forg,"[680, 930]"
42,230439790000005061724744,Sabir,Jouhaina,99086.36,Inactif,044,backend/app/data/sign_data\044,backend/app/data/sign_data\044_forg,"[87, 619, 952]"
43,230813140000005185181451,Nejjar,Imad Eddine,34366.47,Actif,046,backend/app/data/sign_data\046,backend/app/data/sign_data\046_forg,"[829, 868, 766]"
44,230377800000005308638161,Benjelloun,Adiba,82601.63,Inactif,047,backend/app/data/sign_data\047,backend/app/data/sign_data\047_forg,"[656, 820]"
45,230844040000005432094859,Nejjar,Zaid,26099.54,Inactif,049,backend/app/data/sign_data\049,backend/app/data/sign_data\049_forg,"[276, 196]"
46,230364700000005555551594,Diouri,Sarie,32161.03,Actif,050,backend/app/data/sign_data\050,backend/app/data/sign_data\050_forg,"[580, 912]"
47,230402150000005679008285,Hasnaoui,Naim,37388.53,Actif,051,backend/app/data/sign_data\051,backend/app/data/sign_data\051_forg,[78]
48,230260530000005802464947,Oulad,Ouahiba,15289.6,Inactif,052,backend/app/data/sign_data\052,backend/app/data/sign_data\052_forg,"[898, 205]"
49,230678980000005925921635,Chaib,Achraf,75649.98,Inactif,054,backend/app/data/sign_data\054,backend/app/data/sign_data\054_forg,[30]
50,230639970000006049378374,Moussaid,Dalila,36072.66,Actif,055,backend/app/data/sign_data\055,backend/app/data/sign_data\055_forg,[63]
51,230230050000006172835091,Abdo,Oum Essaad,61279.88,Inactif,056,backend/app/data/sign_data\056,backend/app/data/sign_data\056_forg,"[116, 944]"
52,230762580000006296291700,Farah,Hakima,20514.94,Inactif,057,backend/app/data/sign_data\057,backend/app/data/sign_data\057_forg,[667]
53,230946850000006419748425,El idrissi,Abdelouali,99917.55,Actif,060,backend/app/data/sign_data\060,backend/app/data/sign_data\060_forg,"[430, 875]"
54,230191770000006543205132,Fares,Heba,60417.54,Inactif,061,backend/app/data/sign_data\061,backend/app/data/sign_data\061_forg,[635]
55,230979840000006666661878,Hilali,Abdessatar,15538.06,Inactif,063,backend/app/data/sign_data\063,backend/app/data/sign_data\063_forg,[371]
56,230122310000006790118530,Sadik,Lounes,99343.52,Actif,065,backend/app/data/sign_data\065,backend/app/data/sign_data\065_forg,"[201, 808]"
57,230193670000006913575285,Sara,Hafs,97676.76,Actif,066,backend/app/data/sign_data\066,backend/app/data/sign_data\066_forg,"[695, 427]"
58,230107510000007037031909,Tazi,Sarie,44294.48,Inactif,067,backend/app/data/sign_data\067,backend/app/data/sign_data\067_forg,"[505, 469]"
59,230147250000007160488657,Salma,Chaouki,13271.32,Actif,068,backend/app/data/sign_data\068,backend/app/data/sign_data\068_forg,"[369, 366, 489]"
60,230885530000007283945335,Guessous,Faras,51312.69,Inactif,069,backend/app/data/sign_data\069,backend/app/data/sign_data\069_forg,"[197, 5]"
61,230750110000007407402091,Mohammed,Faouzi,556.67,Inactif,070,backend/app/data/sign_data\070,backend/app/data/sign_data\070_forg,"[149, 124]"
62,230887600000007530858717,Ali,Jouayria,6820.07,Inactif,071,backend/app/data/sign_data\071,backend/app/data/sign_data\071_forg,"[321, 162, 741]"
63,230608440000007654315449,Faiz,Abdessamad,75731.79,Actif,072,backend/app/data/sign_data\072,backend/app/data/sign_data\072_forg,[998]
64,230958450000007777772141,El ouardi,Ghali,38404.13,Actif,073,backend/app/data/sign_data\073,backend/app/data/sign_data\073_forg,[171]
65,230638020000007901228800,Bennani,Adnane,34898.84,Inactif,074,backend/app/data/sign_data\074,backend/app/data/sign_data\074_forg,[159]
66,230573050000008024685583,Benkirane,Yasmina,73488.29,Actif,076,backend/app/data/sign_data\076,backend/app/data/sign_data\076_forg,"[84, 508, 630]"
67,230433630000008148142296,El mehdi,Taj Eddine,21585.57,Inactif,077,backend/app/data/sign_data\077,backend/app/data/sign_data\077_forg,[305]
68,230207550000008271598913,Bouziane,Kamel,94216.19,Actif,078,backend/app/data/sign_data\078,backend/app/data/sign_data\078_forg,"[657, 614]"
69,230891030000008395055609,El abbassi,Afaf,92864.1,Actif,080,backend/app/data/sign_data\080,backend/app/data/sign_data\080_forg,[615]
70,230482790000008518512362,Kaoutar,Farji,14619.61,Actif,081,backend/app/data/sign_data\081,backend/app/data/sign_data\081_forg,[717]
71,230162200000008641969053,Taha,Elkhamsa,23376.62,Actif,082,backend/app/data/sign_data\082,backend/app/data/sign_data\082_forg,[148]
72,230648090000008765425753,Yousfi,Khadouja,19466.69,Inactif,083,backend/app/data/sign_data\083,backend/app/data/sign_data\083_forg,[827]
73,230708910000008888882484,Ahmed,Brahim,82770.14,Actif,084,backend/app/data/sign_data\084,backend/app/data/sign_data\084_forg,[985]
74,230978950000009012339147,Zitouni,Bachir,24467.81,Inactif,085,backend/app/data/sign_data\085,backend/app/data/sign_data\085_forg,[222]
75,230431620000009135795882,Choukri,Habib Allah,34496.42,Actif,086,backend/app/data/sign_data\086,backend/app/data/sign_data\086_forg,[978]
76,230708800000009259252582,Boukhari,Rachika,95200.08,Inactif,087,backend/app/data/sign_data\087,backend/app/data/sign_data\087_forg,"[416, 356]"
77,230809470000009382709212,Hamdaoui,Chafai,82825.22,Inactif,088,backend/app/data/sign_data\088,backend/app/data/sign_data\088_forg,[949]
78,230884920000009506165987,Lamrani,Ghazi,3241.46,Inactif,089,backend/app/data/sign_data\089,backend/app/data/sign_data\089_forg,"[791, 253, 216]"
79,230784420000009629622656,Elidrissi,Kaema,85210.45,Inactif,090,backend/app/data/sign_data\090,backend/app/data/sign_data\090_forg,"[235, 415, 173]"
80,230115060000009753079390,Nejjar,Hamdane,3647.76,Inactif,091,backend/app/data/sign_data\091,backend/app/data/sign_data\091_forg,"[538, 777]"
81,230102450000009876536014,Moussaoui,Kais,40865.8,Inactif,092,backend/app/data/sign_data\092,backend/app/data/sign_data\092_forg,"[750, 28, 157, 611]"
82,230819680000009999992782,Elamrani,Antara,34941.83,Actif,093,backend/app/data/sign_data\093,backend/app/data/sign_data\093_forg,[309]
83,230267030000010123449466,Radi,Baba,41212.63,Actif,094,backend/app/data/sign_data\094,backend/app/data/sign_data\094_forg,"[109, 496]"
84,230192710000010246906131,Mehdi,Elmahdi,42824.73,Actif,095,backend/app/data/sign_data\095,backend/app/data/sign_data\095_forg,"[774, 969, 50]"
